# mycobench extended panel: nigeria-full
#
# GENERATED from verified NCBI metadata -- do not hand-edit.
#
# All 213 Illumina paired-end, non-bovis Mycobacterium tuberculosis runs whose
# BioSample geo_loc_name confirms Nigeria. 37 free-text matches from the East
# China Sea and 134 BioSamples with no geo_loc_name were excluded.
#
# SEVERELY STUDY-CLUSTERED. Run 'mycobench review-candidates' with
# --max-per-bioproject before using this panel for any interval or significance
# claim; see cohorts/README.md.
#
# phenotype_source is EMPTY on every row: concordance track only.
sample_id	sra_run	biosample	bioproject	organism	geo_loc_name	collection_date	isolation_source	platform	layout	bases	cohort_tier	phenotype_source	source_study
ng_SRR35084541	SRR35084541	SAMN50741082	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-01-23		ILLUMINA	PAIRED	181736048	B		NCBI_discovery_pending_publication_review
ng_SRR35084529	SRR35084529	SAMN50741093	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-01-16		ILLUMINA	PAIRED	152668646	B		NCBI_discovery_pending_publication_review
ng_SRR35084542	SRR35084542	SAMN50741081	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-01-06		ILLUMINA	PAIRED	164560048	B		NCBI_discovery_pending_publication_review
ng_SRR35084524	SRR35084524	SAMN50741097	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-03-02		ILLUMINA	PAIRED	159868635	B		NCBI_discovery_pending_publication_review
ng_SRR35084686	SRR35084686	SAMN50741127	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-02-28		ILLUMINA	PAIRED	161016466	B		NCBI_discovery_pending_publication_review
ng_SRR35084692	SRR35084692	SAMN50741123	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-01-28		ILLUMINA	PAIRED	153003425	B		NCBI_discovery_pending_publication_review
ng_SRR35084689	SRR35084689	SAMN50741125	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-02-14		ILLUMINA	PAIRED	148023131	B		NCBI_discovery_pending_publication_review
ng_SRR35084832	SRR35084832	SAMN50741032	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2018-11-14		ILLUMINA	PAIRED	87153309	B		NCBI_discovery_pending_publication_review
ng_SRR35084829	SRR35084829	SAMN50741034	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-01-30		ILLUMINA	PAIRED	112911401	B		NCBI_discovery_pending_publication_review
ng_SRR35084828	SRR35084828	SAMN50741035	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-01-29		ILLUMINA	PAIRED	124326079	B		NCBI_discovery_pending_publication_review
ng_SRR35084824	SRR35084824	SAMN50741039	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-04-04		ILLUMINA	PAIRED	158874479	B		NCBI_discovery_pending_publication_review
ng_SRR35084724	SRR35084724	SAMN50741065	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-01-23		ILLUMINA	PAIRED	78857511	B		NCBI_discovery_pending_publication_review
ng_SRR35084717	SRR35084717	SAMN50741101	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-03-12		ILLUMINA	PAIRED	143861241	B		NCBI_discovery_pending_publication_review
ng_SRR35084699	SRR35084699	SAMN50741116	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-12-10		ILLUMINA	PAIRED	170817300	B		NCBI_discovery_pending_publication_review
ng_SRR35084695	SRR35084695	SAMN50741120	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-03-15		ILLUMINA	PAIRED	151978841	B		NCBI_discovery_pending_publication_review
ng_SRR35084730	SRR35084730	SAMN50741060	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2018-08-15		ILLUMINA	PAIRED	155715940	B		NCBI_discovery_pending_publication_review
ng_SRR35084709	SRR35084709	SAMN50741108	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2018-09-18		ILLUMINA	PAIRED	182584197	B		NCBI_discovery_pending_publication_review
ng_SRR35084698	SRR35084698	SAMN50741117	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2018-10-10		ILLUMINA	PAIRED	138228049	B		NCBI_discovery_pending_publication_review
ng_SRR35084697	SRR35084697	SAMN50741118	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2018-11-22		ILLUMINA	PAIRED	183443856	B		NCBI_discovery_pending_publication_review
ng_SRR35084696	SRR35084696	SAMN50741119	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2018-12-20		ILLUMINA	PAIRED	148091365	B		NCBI_discovery_pending_publication_review
ng_SRR35084727	SRR35084727	SAMN50741063	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2018-12-21		ILLUMINA	PAIRED	130701171	B		NCBI_discovery_pending_publication_review
ng_SRR35084725	SRR35084725	SAMN50741064	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2018-12-21		ILLUMINA	PAIRED	140698795	B		NCBI_discovery_pending_publication_review
ng_SRR35084831	SRR35084831	SAMN50741033	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-01-11		ILLUMINA	PAIRED	162350836	B		NCBI_discovery_pending_publication_review
ng_SRR35084723	SRR35084723	SAMN50741066	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-01-23		ILLUMINA	PAIRED	149588226	B		NCBI_discovery_pending_publication_review
ng_SRR35084741	SRR35084741	SAMN50741050	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-04-03		ILLUMINA	PAIRED	136447903	B		NCBI_discovery_pending_publication_review
ng_SRR35084735	SRR35084735	SAMN50741055	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-06-24		ILLUMINA	PAIRED	217642790	B		NCBI_discovery_pending_publication_review
